date.time, tide
08/01/2012 2:29 AM, 0.79
08/01/2012 7:35 AM, 0.95
08/01/2012 2:31 PM, 0.08
08/01/2012 10:18 PM, 1.12
08/02/2012 3:16 AM, 0.76
08/02/2012 8:41 AM, 0.96
08/02/2012 3:17 PM, 0.12
08/02/2012 10:55 PM, 1.10
08/03/2012 4:02 AM, 0.72
08/03/2012 9:39 AM, 0.95
08/03/2012 4:02 PM, 0.20
08/03/2012 11:30 PM, 1.07
08/04/2012 4:49 AM, 0.68
08/04/2012 10:35 AM, 0.93
08/04/2012 4:44 PM, 0.29
08/05/2012 12:04 AM, 1.02
08/05/2012 5:38 AM, 0.64
08/05/2012 11:30 AM, 0.90
08/05/2012 5:26 PM, 0.40
08/06/2012 12:34 AM, 0.98
08/06/2012 6:32 AM, 0.59
08/06/2012 12:26 PM, 0.87
08/06/2012 6:10 PM, 0.50
08/07/2012 1:03 AM, 0.94
08/07/2012 7:29 AM, 0.55
08/07/2012 1:28 PM, 0.84
08/07/2012 7:01 PM, 0.60
08/08/2012 1:29 AM, 0.90
08/08/2012 8:26 AM, 0.51
08/08/2012 2:43 PM, 0.82
08/08/2012 8:14 PM, 0.69
08/09/2012 1:54 AM, 0.87
08/09/2012 9:21 AM, 0.47
08/09/2012 4:30 PM, 0.83
08/09/2012 9:42 PM, 0.74
08/10/2012 2:18 AM, 0.85
08/10/2012 10:12 AM, 0.42
08/10/2012 6:19 PM, 0.87
08/10/2012 10:53 PM, 0.77
08/11/2012 2:46 AM, 0.84
08/11/2012 10:59 AM, 0.37
08/11/2012 7:16 PM, 0.92
08/11/2012 11:47 PM, 0.79
08/12/2012 3:25 AM, 0.84
08/12/2012 11:43 AM, 0.33
08/12/2012 7:57 PM, 0.96
08/13/2012 12:29 AM, 0.79
08/13/2012 4:18 AM, 0.85
08/13/2012 12:25 PM, 0.28
08/13/2012 8:32 PM, 0.99
08/14/2012 1:05 AM, 0.78
08/14/2012 5:26 AM, 0.86
08/14/2012 1:04 PM, 0.25
08/14/2012 9:04 PM, 1.01
08/15/2012 1:39 AM, 0.77
08/15/2012 6:33 AM, 0.88
08/15/2012 1:42 PM, 0.22
08/15/2012 9:35 PM, 1.02
08/16/2012 2:12 AM, 0.74
08/16/2012 7:31 AM, 0.90
08/16/2012 2:18 PM, 0.21
08/16/2012 10:04 PM, 1.03
08/17/2012 2:46 AM, 0.71
08/17/2012 8:24 AM, 0.91
08/17/2012 2:55 PM, 0.23
08/17/2012 10:31 PM, 1.02
08/18/2012 3:21 AM, 0.66
08/18/2012 9:15 AM, 0.93
08/18/2012 3:32 PM, 0.26
08/18/2012 10:58 PM, 1.00
08/19/2012 3:58 AM, 0.61
08/19/2012 10:08 AM, 0.93
08/19/2012 4:10 PM, 0.32
08/19/2012 11:23 PM, 0.98
08/20/2012 4:38 AM, 0.55
08/20/2012 11:05 AM, 0.93
08/20/2012 4:50 PM, 0.41
08/20/2012 11:47 PM, 0.95
08/21/2012 5:23 AM, 0.49
08/21/2012 12:05 PM, 0.92
08/21/2012 5:36 PM, 0.51
08/22/2012 12:12 AM, 0.93
08/22/2012 6:16 AM, 0.42
08/22/2012 1:13 PM, 0.92
08/22/2012 6:31 PM, 0.62
08/23/2012 12:39 AM, 0.91
08/23/2012 7:21 AM, 0.36
08/23/2012 2:32 PM, 0.92
08/23/2012 7:51 PM, 0.72
08/24/2012 1:10 AM, 0.90
08/24/2012 8:34 AM, 0.31
08/24/2012 4:12 PM, 0.93
08/24/2012 9:36 PM, 0.78
08/25/2012 1:49 AM, 0.89
08/25/2012 9:45 AM, 0.25
08/25/2012 5:54 PM, 0.98
08/25/2012 10:59 PM, 0.80
08/26/2012 2:40 AM, 0.89
08/26/2012 10:50 AM, 0.20
08/26/2012 7:02 PM, 1.03
08/27/2012 12:00 AM, 0.80
08/27/2012 3:51 AM, 0.88
08/27/2012 11:49 AM, 0.16
08/27/2012 7:51 PM, 1.06
08/28/2012 12:50 AM, 0.77
08/28/2012 5:23 AM, 0.89
08/28/2012 12:42 PM, 0.15
08/28/2012 8:32 PM, 1.07
08/29/2012 1:34 AM, 0.73
08/29/2012 6:49 AM, 0.91
08/29/2012 1:32 PM, 0.16
08/29/2012 9:09 PM, 1.07
08/30/2012 2:14 AM, 0.68
08/30/2012 7:57 AM, 0.94
08/30/2012 2:18 PM, 0.20
08/30/2012 9:43 PM, 1.05
08/31/2012 2:52 AM, 0.62
08/31/2012 8:56 AM, 0.95
08/31/2012 3:01 PM, 0.26
08/31/2012 10:15 PM, 1.01
09/01/2012 3:29 AM, 0.57
09/01/2012 9:49 AM, 0.95
09/01/2012 3:42 PM, 0.34
09/01/2012 10:45 PM, 0.97
09/02/2012 4:06 AM, 0.53
09/02/2012 10:40 AM, 0.94
09/02/2012 4:21 PM, 0.43
09/02/2012 11:13 PM, 0.93
09/03/2012 4:42 AM, 0.49
09/03/2012 11:30 AM, 0.93
09/03/2012 4:59 PM, 0.52
09/03/2012 11:39 PM, 0.89
09/04/2012 5:19 AM, 0.46
09/04/2012 12:21 PM, 0.90
09/04/2012 5:40 PM, 0.60
09/05/2012 12:02 AM, 0.85
09/05/2012 6:00 AM, 0.45
09/05/2012 1:16 PM, 0.88
09/05/2012 6:30 PM, 0.68
09/06/2012 12:23 AM, 0.82
09/06/2012 6:51 AM, 0.44
09/06/2012 2:20 PM, 0.86
09/06/2012 8:09 PM, 0.73
09/07/2012 12:42 AM, 0.80
09/07/2012 7:56 AM, 0.42
09/07/2012 3:44 PM, 0.86
09/07/2012 10:01 PM, 0.76
09/08/2012 1:04 AM, 0.79
09/08/2012 9:06 AM, 0.40
09/08/2012 5:29 PM, 0.88
09/08/2012 11:04 PM, 0.76
09/09/2012 1:39 AM, 0.78
09/09/2012 10:08 AM, 0.37
09/09/2012 6:33 PM, 0.91
09/09/2012 11:43 PM, 0.76
09/10/2012 2:35 AM, 0.79
09/10/2012 11:00 AM, 0.34
09/10/2012 7:14 PM, 0.93
09/11/2012 12:13 AM, 0.74
09/11/2012 3:48 AM, 0.79
09/11/2012 11:47 AM, 0.30
09/11/2012 7:47 PM, 0.95
09/12/2012 12:41 AM, 0.71
09/12/2012 5:14 AM, 0.81
09/12/2012 12:30 PM, 0.28
09/12/2012 8:17 PM, 0.97
09/13/2012 1:11 AM, 0.67
09/13/2012 6:32 AM, 0.84
09/13/2012 1:10 PM, 0.26
09/13/2012 8:44 PM, 0.97
09/14/2012 1:42 AM, 0.61
09/14/2012 7:35 AM, 0.88
09/14/2012 1:50 PM, 0.27
09/14/2012 9:10 PM, 0.96
09/15/2012 2:15 AM, 0.54
09/15/2012 8:31 AM, 0.92
09/15/2012 2:29 PM, 0.30
09/15/2012 9:35 PM, 0.95
09/16/2012 2:50 AM, 0.47
09/16/2012 9:26 AM, 0.95
09/16/2012 3:11 PM, 0.36
09/16/2012 10:00 PM, 0.93
09/17/2012 3:26 AM, 0.39
09/17/2012 10:21 AM, 0.98
09/17/2012 3:53 PM, 0.43
09/17/2012 10:24 PM, 0.90
09/18/2012 4:07 AM, 0.32
09/18/2012 11:17 AM, 0.99
09/18/2012 4:39 PM, 0.53
09/18/2012 10:50 PM, 0.88
09/19/2012 4:52 AM, 0.27
09/19/2012 12:17 PM, 1.00
09/19/2012 5:32 PM, 0.63
09/19/2012 11:17 PM, 0.86
09/20/2012 5:44 AM, 0.23
09/20/2012 1:23 PM, 0.99
09/20/2012 6:43 PM, 0.71
09/20/2012 11:48 PM, 0.85
09/21/2012 6:47 AM, 0.21
09/21/2012 2:39 PM, 0.98
09/21/2012 8:39 PM, 0.77
09/22/2012 12:28 AM, 0.83
09/22/2012 8:03 AM, 0.20
09/22/2012 4:07 PM, 0.98
09/22/2012 10:17 PM, 0.77
09/23/2012 1:23 AM, 0.82
09/23/2012 9:22 AM, 0.20
09/23/2012 5:31 PM, 1.00
09/23/2012 11:19 PM, 0.74
09/24/2012 2:37 AM, 0.80
09/24/2012 10:32 AM, 0.19
09/24/2012 6:32 PM, 1.01
09/25/2012 12:06 AM, 0.70
09/25/2012 4:15 AM, 0.80
09/25/2012 11:34 AM, 0.20
09/25/2012 7:17 PM, 1.01
09/26/2012 12:45 AM, 0.63
09/26/2012 5:57 AM, 0.82
09/26/2012 12:28 PM, 0.23
09/26/2012 7:55 PM, 0.99
09/27/2012 1:21 AM, 0.57
09/27/2012 7:14 AM, 0.86
09/27/2012 1:16 PM, 0.27
09/27/2012 8:28 PM, 0.97
09/28/2012 1:55 AM, 0.50
09/28/2012 8:15 AM, 0.90
09/28/2012 2:01 PM, 0.33
09/28/2012 8:59 PM, 0.94
09/29/2012 2:28 AM, 0.44
09/29/2012 9:08 AM, 0.92
09/29/2012 2:42 PM, 0.40
09/29/2012 9:27 PM, 0.91
09/30/2012 3:00 AM, 0.38
09/30/2012 9:57 AM, 0.94
09/30/2012 3:21 PM, 0.47
09/30/2012 9:53 PM, 0.87
10/01/2012 3:30 AM, 0.34
10/01/2012 10:43 AM, 0.94
10/01/2012 3:59 PM, 0.54
10/01/2012 10:17 PM, 0.83
10/02/2012 4:01 AM, 0.32
10/02/2012 11:29 AM, 0.93
10/02/2012 4:37 PM, 0.61
10/02/2012 10:38 PM, 0.79
10/03/2012 4:32 AM, 0.31
10/03/2012 12:15 PM, 0.92
10/03/2012 5:19 PM, 0.67
10/03/2012 10:54 PM, 0.76
10/04/2012 5:07 AM, 0.31
10/04/2012 1:04 PM, 0.90
10/04/2012 6:16 PM, 0.71
10/04/2012 11:02 PM, 0.74
10/05/2012 5:47 AM, 0.31
10/05/2012 1:59 PM, 0.88
10/05/2012 10:14 PM, 0.73
10/05/2012 10:49 PM, 0.73
10/06/2012 6:39 AM, 0.33
10/06/2012 3:04 PM, 0.87 
10/07/2012 7:48 AM, 0.33
10/07/2012 4:21 PM, 0.87
10/07/2012 11:54 PM, 0.71
10/08/2012 12:05 AM, 0.71
10/08/2012 9:03 AM, 0.33
10/08/2012 5:28 PM, 0.88
10/08/2012 11:38 PM, 0.69
10/09/2012 1:50 AM, 0.70
10/09/2012 10:07 AM, 0.32
10/09/2012 6:12 PM, 0.89
10/09/2012 11:52 PM, 0.65
10/10/2012 3:21 AM, 0.71
10/10/2012 11:01 AM, 0.31
10/10/2012 6:46 PM, 0.90
10/11/2012 12:14 AM, 0.59
10/11/2012 5:02 AM, 0.73
10/11/2012 11:49 AM, 0.30
10/11/2012 7:14 PM, 0.90
10/12/2012 12:41 AM, 0.52
10/12/2012 6:31 AM, 0.78
10/12/2012 12:35 PM, 0.32
10/12/2012 7:40 PM, 0.89
10/13/2012 1:12 AM, 0.43
10/13/2012 7:39 AM, 0.84
10/13/2012 1:20 PM, 0.35
10/13/2012 8:05 PM, 0.88
10/14/2012 1:46 AM, 0.33
10/14/2012 8:38 AM, 0.91
10/14/2012 2:05 PM, 0.39
10/14/2012 8:29 PM, 0.86
10/15/2012 2:22 AM, 0.23
10/15/2012 9:33 AM, 0.96
10/15/2012 2:51 PM, 0.46
10/15/2012 8:55 PM, 0.85
10/16/2012 3:01 AM, 0.15
10/16/2012 10:28 AM, 1.01
10/16/2012 3:39 PM, 0.54
10/16/2012 9:22 PM, 0.83
10/17/2012 3:44 AM, 0.08
10/17/2012 11:24 AM, 1.03
10/17/2012 4:32 PM, 0.62
10/17/2012 9:51 PM, 0.82
10/18/2012 4:31 AM, 0.05
10/18/2012 2:22 PM, 1.04
10/18/2012 5:36 PM, 0.69
10/18/2012 10:26 PM, 0.81
10/19/2012 5:23 AM, 0.04
10/19/2012 1:24 PM, 1.02
10/19/2012 7:18 PM, 0.73
10/19/2012 11:08 PM, 0.79
10/20/2012 6:25 AM, 0.07
10/20/2012 2:32 PM, 1.00
10/20/2012 9:20 PM, 0.73
10/21/2012 12:05 AM, 0.76
10/21/2012 7:39 AM, 0.11
10/21/2012 3:44 PM, 0.98
10/21/2012 10:27 PM, 0.68
10/22/2012 1:17 AM, 0.73
10/22/2012 8:58 AM, 0.16
10/22/2012 4:52 PM, 0.96
10/22/2012 11:14 PM, 0.62
10/23/2012 2:49 AM, 0.70
10/23/2012 10:10 AM, 0.21
10/23/2012 5:48 PM, 0.94
10/23/2012 11:53 PM, 0.55
10/24/2012 4:40 AM, 0.70
10/24/2012 11:12 AM, 0.26
10/24/2012 6:31 PM, 0.92
10/25/2012 12:29 AM, 0.46
10/25/2012 6:19 AM, 0.74
10/25/2012 12:06 PM, 0.32
10/25/2012 7:07 PM, 0.90
10/26/2012 1:02 AM, 0.38
10/26/2012 7:30 AM, 0.80
10/26/2012 12:56 PM, 0.38
10/26/2012 7:39 PM, 0.87
10/27/2012 1:34 AM, 0.31
10/27/2012 8:27 AM, 0.85
10/27/2012 1:41 PM, 0.45
10/27/2012 8:08 PM, 0.83
10/28/2012 2:04 AM, 0.25
10/28/2012 9:16 AM, 0.88
10/28/2012 2:23 PM, 0.51
10/28/2012 8:34 PM, 0.80
10/29/2012 2:33 AM, 0.20
10/29/2012 10:01 AM, 0.91
10/29/2012 3:03 PM, 0.56
10/29/2012 8:57 PM, 0.77
10/30/2012 3:01 AM, 0.17
10/30/2012 10:43 AM, 0.92
10/30/2012 3:42 PM, 0.61
10/30/2012 9:17 PM, 0.74
10/31/2012 3:31 AM, 0.16
10/31/2012 11:25 AM, 0.92
10/31/2012 4:21 PM, 0.65
10/31/2012 9:29 PM, 0.72
11/01/2012 4:02 AM, 0.16
11/01/2012 12:08 PM, 0.91
11/01/2012 5:05 PM, 0.68
11/01/2012 9:16 PM, 0.70
11/02/2012 4:36 AM, 0.16
11/02/2012 12:52 PM, 0.89
11/02/2012 6:23 PM, 0.71
11/02/2012 6:38 PM, 0.71
11/03/2012 5:13 AM, 0.18
11/03/2012 1:38 PM, 0.87
11/04/2012 5:55 AM, 0.20
11/04/2012 2:28 PM, 0.86
11/05/2012 6:47 AM, 0.23
11/05/2012 3:20 PM, 0.85
11/06/2012 7:52 AM, 0.26
11/06/2012 4:09 PM, 0.84
11/06/2012 11:12 PM, 0.61